Transaction_ID,Date,Customer_Name,Transaction_Type,Product_Service,Amount,Tax,Payment_Method,Location,Account_Category,Notes
TXN-2000,2025-02-12,Karen Carter,Income,Flour Sale,64542,10972.14,Card,Karachi,Revenue,Paid to supplier
TXN-2001,2025-04-13,Diana David,Capital,Partner Fund,97846,0.0,Card,Faisalabad,Equity,Marketing campaign
TXN-2002,2025-02-05,Kathleen Pearson,Refund,Supplier Refund,96367,0.0,Cash,Lahore,Revenue Adjustment,Paid to supplier
TXN-2003,2025-03-19,Seth Bruce,Expense,Marketing,35828,0.0,Bank Transfer,Islamabad,Administrative Expense,Paid to supplier
TXN-2004,2025-02-10,Luke Wright,Asset,Vehicle Purchase,61760,0.0,Bank Transfer,Faisalabad,Current Asset,Refund processed
TXN-2005,2025-03-05,Whitney White,Income,Rice Sale,38113,6479.21,Cash,Karachi,Revenue,Loan installment
TXN-2006,2025-02-06,William White,Refund,Customer Refund,43350,0.0,Card,Lahore,Revenue Adjustment,New equipment
TXN-2007,2025-02-20,Michelle Barber,Income,Oil Sale,34193,5812.81,Cash,Islamabad,Revenue,Loan installment
TXN-2008,2025-03-20,Joseph Peterson,Expense,Marketing,73703,0.0,Cheque,Karachi,Operating Expense,Loan installment
TXN-2009,2025-03-04,Kimberly Waller,Income,Wheat Sale,10576,1797.92,Card,Lahore,Revenue,New equipment
TXN-2010,2025-02-23,Monique Harris,Liability,Utility Bill Due,67928,0.0,Bank Transfer,Lahore,Short-term Liability,Marketing campaign
TXN-2011,2025-01-22,Michael Khan,Expense,Shop Rent,31494,0.0,Card,Faisalabad,Operating Expense,New equipment
TXN-2012,2025-02-14,Timothy Pope DDS,Liability,Bank Loan,9853,0.0,Bank Transfer,Karachi,Long-term Liability,New equipment
TXN-2013,2025-04-01,Destiny Bailey,Refund,Customer Refund,47344,0.0,Cash,Faisalabad,Revenue Adjustment,Refund processed
TXN-2014,2025-03-05,Julie Turner,Refund,Customer Refund,67197,0.0,Bank Transfer,Faisalabad,Revenue Adjustment,Paid to supplier
TXN-2015,2025-01-30,Kimberly Perry,Expense,Shop Rent,95069,0.0,Card,Islamabad,Administrative Expense,Refund processed
TXN-2016,2025-02-24,Karl Turner,Capital,Partner Fund,83731,0.0,Card,Lahore,Equity,Refund processed
TXN-2017,2025-01-31,Luis Larsen,Income,Oil Sale,49392,8396.64,Card,Karachi,Revenue,New equipment
TXN-2018,2025-02-14,Danielle Sutton,Asset,Shop Inventory,67205,0.0,Card,Islamabad,Current Asset,Monthly bill
TXN-2019,2025-03-25,Martin Johnson,Capital,Owner Investment,38271,0.0,Cheque,Faisalabad,Equity,Customer advance
TXN-2020,2025-02-12,Rhonda Williamson,Expense,Shop Rent,88710,0.0,Card,Lahore,Administrative Expense,Monthly bill
TXN-2021,2025-02-02,Jennifer Hobbs,Expense,Shop Rent,45543,0.0,Cheque,Faisalabad,Administrative Expense,Refund processed
TXN-2022,2025-01-18,Victoria Mosley,Expense,Electricity Bill,33176,0.0,Cheque,Islamabad,Operating Expense,New equipment
TXN-2023,2025-02-17,Steven Smith,Liability,Utility Bill Due,12674,0.0,Cheque,Karachi,Short-term Liability,Paid to supplier
TXN-2024,2025-02-20,Adam Robinson,Capital,Partner Fund,7491,0.0,Card,Faisalabad,Equity,Loan installment
TXN-2025,2025-02-07,Brett Fisher,Capital,Owner Investment,76109,0.0,Cash,Islamabad,Equity,New equipment
TXN-2026,2025-03-05,Lauren Snyder,Refund,Supplier Refund,8361,0.0,Cheque,Islamabad,Revenue Adjustment,Marketing campaign
TXN-2027,2025-02-10,Robin Grant,Capital,Partner Fund,18196,0.0,Card,Lahore,Equity,Refund processed
TXN-2028,2025-02-05,Michael Howard,Asset,Shop Inventory,60095,0.0,Bank Transfer,Islamabad,Fixed Asset,Monthly bill
TXN-2029,2025-02-07,Ashley Daniels,Expense,Marketing,305,0.0,Cash,Karachi,Operating Expense,Refund processed
TXN-2030,2025-03-27,Norma Luna,Capital,Shareholder Equity,30491,0.0,Cheque,Islamabad,Equity,Monthly bill
TXN-2031,2025-03-28,Kimberly Lane,Refund,Supplier Refund,93782,0.0,Card,Karachi,Revenue Adjustment,Refund processed
TXN-2032,2025-01-29,Lori Curtis,Income,Sugar Sale,82051,13948.67,Bank Transfer,Karachi,Revenue,Monthly bill
TXN-2033,2025-02-02,Brittany Robinson,Expense,Staff Salary,66247,0.0,Cash,Lahore,Administrative Expense,Paid to supplier
TXN-2034,2025-02-02,Michele Lopez,Liability,Supplier Credit,7053,0.0,Bank Transfer,Faisalabad,Long-term Liability,Loan installment
TXN-2035,2025-03-04,Jamie Terry,Expense,Staff Salary,28954,0.0,Cash,Lahore,Operating Expense,Customer advance
TXN-2036,2025-02-16,Ryan Diaz,Liability,Supplier Credit,91800,0.0,Cash,Karachi,Long-term Liability,Loan installment
TXN-2037,2025-02-26,Jeffery Rodriguez,Liability,Tax Payable,83630,0.0,Bank Transfer,Faisalabad,Short-term Liability,Loan installment
TXN-2038,2025-02-03,Anthony Gonzalez,Liability,Tax Payable,22292,0.0,Card,Lahore,Long-term Liability,Customer advance
TXN-2039,2025-04-07,Jason Nelson,Liability,Tax Payable,13097,0.0,Card,Karachi,Short-term Liability,Paid to supplier
TXN-2040,2025-02-06,Mr. Charles Miller,Capital,Owner Investment,24679,0.0,Cheque,Lahore,Equity,New equipment
TXN-2041,2025-03-25,Cynthia Lara,Income,Sugar Sale,21830,3711.1,Cheque,Islamabad,Revenue,Marketing campaign
TXN-2042,2025-02-06,Michele Rogers,Income,Sugar Sale,24851,4224.67,Card,Islamabad,Revenue,Refund processed
TXN-2043,2025-03-11,Teresa Smith,Income,Oil Sale,65553,11144.01,Bank Transfer,Lahore,Revenue,Monthly bill
TXN-2044,2025-01-23,Nicole Mcmillan,Expense,Shop Rent,66450,0.0,Card,Lahore,Administrative Expense,Customer advance
TXN-2045,2025-03-16,Tyler Hodge,Income,Sugar Sale,44475,7560.75,Bank Transfer,Karachi,Revenue,Paid to supplier
TXN-2046,2025-04-08,Sandra Evans,Income,Flour Sale,80245,13641.65,Cash,Faisalabad,Revenue,Monthly bill
TXN-2047,2025-01-26,Jeffrey Middleton,Capital,Owner Investment,77446,0.0,Card,Islamabad,Equity,Loan installment
TXN-2048,2025-04-15,Donald Boyer,Refund,Supplier Refund,27246,0.0,Card,Faisalabad,Revenue Adjustment,New equipment
TXN-2049,2025-02-03,Natalie Gentry,Income,Sugar Sale,78896,13412.32,Card,Islamabad,Revenue,Loan installment
